CustomerID,purchase_frequency,total_revenue,total_quantity,last_purchase_date,first_purchase_date,unique_products,days_since_last_purchase,customer_lifespan_days,avg_order_value
12530,4,1662.28,913,2011-10-11,2011-01-07,51,59,277,415.57
12531,1,125.22,45,2011-11-25,2011-11-25,17,14,0,125.22
12532,1,349.83000000000004,153,2011-11-09,2011-11-09,16,29,0,349.83
12534,1,1089.18,651,2011-08-01,2011-08-01,63,130,0,1089.18
12535,2,716.35,219,2011-09-09,2011-06-06,28,91,94,358.18
12536,3,12601.830000000002,2803,2011-10-27,2011-10-11,260,42,15,4200.61
12538,1,363.95,191,2011-11-10,2011-11-10,21,28,0,363.95
12539,4,5568.35,2067,2011-11-17,2011-01-10,157,21,311,1392.09
12540,17,13400.24,6685,2011-11-20,2010-12-13,277,19,342,788.25
12541,3,981.18,680,2011-11-10,2011-03-04,46,29,251,327.06
12544,1,372.7,136,2011-11-03,2011-11-03,19,35,0,372.7
12545,2,1000.39,523,2011-09-25,2011-03-25,42,74,184,500.2
12546,2,1161.5,633,2011-10-24,2011-09-23,59,46,31,580.75
12547,2,207.79999999999998,134,2011-05-26,2011-03-04,7,197,82,103.9
12548,1,95.19999999999999,49,2011-06-26,2011-06-26,5,165,0,95.2
12550,1,964.83,569,2011-09-21,2011-09-21,57,78,0,964.83
12551,1,168.0,100,2010-12-17,2010-12-17,10,357,0,168.0
12552,2,437.82,88,2011-11-01,2011-10-31,20,38,0,218.91
12553,10,3692.28,1965,2011-12-01,2011-01-14,95,7,321,369.23
12556,2,599.56,355,2011-10-20,2011-07-11,100,49,100,299.78
12557,5,11990.960000000001,4384,2011-11-23,2010-12-03,15,15,355,2398.19
12558,1,269.96,196,2011-12-02,2011-12-02,11,7,0,269.96
12559,2,561.71,283,2011-02-02,2011-01-24,21,310,8,280.86
12560,3,2134.01,1110,2011-12-04,2011-07-19,91,4,137,711.34
12561,1,238.85,177,2011-02-10,2011-02-10,16,302,0,238.85
12562,7,3781.7400000000002,1779,2011-12-01,2011-05-25,99,7,190,540.25
12564,1,456.9,133,2011-03-23,2011-03-23,21,260,0,456.9
12565,1,145.92,80,2011-02-24,2011-02-24,9,288,0,145.92
12566,1,351.65,265,2011-09-14,2011-09-14,19,85,0,351.65
12567,10,9401.28,4305,2011-11-17,2010-12-05,323,22,346,940.13
12569,32,4124.69,1801,2011-12-07,2011-04-01,92,1,250,128.9
12571,2,519.61,523,2011-10-31,2011-08-10,31,39,81,259.8
12572,2,1020.42,452,2011-12-01,2011-10-19,53,8,43,510.21
12573,1,160.54000000000002,84,2011-04-26,2011-04-26,26,226,0,160.54
12574,1,218.45,61,2011-01-28,2011-01-28,11,315,0,218.45
12576,5,1315.83,967,2011-11-04,2011-02-08,72,35,268,263.17
12577,3,626.6,469,2011-11-04,2010-12-15,137,34,323,208.87
12578,2,2794.51,1196,2011-11-18,2011-01-13,111,20,308,1397.26
12579,1,440.42,285,2011-09-22,2011-09-22,29,77,0,440.42
12580,1,415.7,238,2011-04-07,2011-04-07,24,246,0,415.7
12581,1,197.71,161,2011-10-31,2011-10-31,15,39,0,197.71
12582,2,511.36,300,2011-04-15,2011-02-24,21,238,49,255.68
12583,15,7281.38,5060,2011-12-07,2010-12-01,115,2,370,485.43
12584,9,2338.15,416,2011-12-06,2011-03-04,44,3,276,259.79
12585,2,2040.1,1279,2011-04-19,2010-12-23,77,233,117,1020.05
12586,1,196.94000000000003,79,2011-11-22,2011-11-22,11,16,0,196.94
12587,1,144.0,51,2011-12-02,2011-12-02,4,7,0,144.0
12588,1,214.89999999999998,53,2011-10-31,2011-10-31,10,38,0,214.9
12589,2,646.68,306,2011-11-11,2011-07-18,29,28,115,323.34
12590,2,9864.26,4283,2011-05-12,2011-05-12,68,210,0,4932.13
12591,1,452.84999999999997,228,2011-01-26,2011-01-26,26,316,0,452.85
12592,2,437.6,290,2011-09-08,2011-05-10,11,91,121,218.8
12593,3,418.09999999999997,206,2011-08-23,2011-05-05,14,108,110,139.37
12594,10,3338.2200000000003,1777,2011-11-02,2011-01-21,50,37,285,333.82
12596,2,618.27,474,2011-10-19,2011-04-11,25,50,190,309.14
12597,4,3811.22,2236,2011-11-20,2011-03-16,184,18,248,952.8
12598,8,3023.08,1964,2011-11-30,2011-02-28,84,9,275,377.88
12599,7,1032.58,956,2011-11-10,2011-02-08,32,28,275,147.51
12600,10,2599.04,774,2011-11-11,2010-12-03,32,28,342,259.9
12601,5,577.0600000000001,245,2011-06-03,2011-01-11,21,189,142,115.41
12602,1,153.12,162,2011-10-12,2011-10-12,12,58,0,153.12
12603,1,739.1999999999999,63,2011-11-18,2011-11-18,2,21,0,739.2
12604,2,254.18,201,2011-09-21,2011-03-23,15,78,182,127.09
12607,1,1579.51,1228,2011-10-10,2011-10-10,101,59,0,1579.51
12609,3,1126.85,648,2011-09-22,2011-01-25,57,77,240,375.62
12610,5,2099.54,1049,2011-11-17,2011-08-05,85,22,103,419.91
12611,1,1193.32,846,2011-10-18,2011-10-18,65,51,0,1193.32
12612,1,704.0400000000001,262,2011-09-26,2011-09-26,19,73,0,704.04
12613,5,3344.38,1644,2011-10-13,2011-03-22,124,56,204,668.88
12614,1,315.6,76,2011-03-07,2011-03-07,20,277,0,315.6
12615,4,2291.19,1376,2011-12-07,2011-06-24,82,1,166,572.8
12616,2,713.3,284,2011-09-05,2011-02-15,25,94,202,356.65
12617,1,352.98,210,2011-11-10,2011-11-10,39,28,0,352.98
12618,1,177.31,96,2011-11-18,2011-11-18,11,21,0,177.31
12619,9,3641.24,3378,2011-11-23,2011-03-31,50,15,237,404.58
12620,3,1339.41,1181,2011-11-25,2011-05-19,89,14,189,446.47
12621,20,13689.67,7440,2011-12-08,2010-12-09,261,1,364,684.48
12622,1,180.1,69,2011-04-21,2011-04-21,11,231,0,180.1
12623,1,305.1,191,2011-03-08,2011-03-08,18,275,0,305.1
12624,2,641.13,355,2011-08-25,2011-06-15,36,105,71,320.56
12625,2,2683.82,1612,2011-05-12,2011-01-24,73,211,107,1341.91
12626,9,6620.48,3453,2011-11-16,2011-01-17,232,22,303,735.61
12627,7,4478.53,2752,2011-11-29,2011-07-22,162,10,129,639.79
12628,3,786.46,448,2011-12-05,2011-10-06,34,3,60,262.15
12630,2,1270.88,548,2011-11-30,2011-10-27,60,9,34,635.44
12631,1,640.5,236,2011-10-13,2011-10-13,31,56,0,640.5
12633,4,2163.98,1162,2011-10-12,2011-02-25,73,58,229,541.0
12635,2,1689.18,1172,2011-09-11,2011-07-08,96,89,65,844.59
12637,8,6002.9,2994,2011-10-03,2011-01-20,205,66,256,750.36
12638,1,671.69,577,2011-11-06,2011-11-06,39,32,0,671.69
12639,1,486.1,201,2011-04-15,2011-04-15,22,238,0,486.1
12640,3,1174.58,311,2011-11-16,2011-09-19,47,23,57,391.53
12641,1,185.9,72,2011-08-16,2011-08-16,10,114,0,185.9
12642,3,1013.26,552,2011-11-14,2011-08-24,39,24,82,337.75
12643,6,3344.64,1808,2011-08-03,2011-01-11,11,127,204,557.44
12644,1,477.91,325,2011-08-02,2011-08-02,31,129,0,477.91
12645,4,1775.18,1084,2011-11-06,2011-01-27,58,33,282,443.8
12646,2,1346.97,897,2011-12-05,2011-10-21,43,4,44,673.48
12647,12,3722.82,1431,2011-11-17,2010-12-05,78,21,346,310.24
12648,1,318.05,160,2011-07-08,2011-07-08,21,154,0,318.05
12649,3,623.51,586,2011-08-24,2011-05-11,28,106,105,207.84
12650,1,314.44,254,2011-12-06,2011-12-06,20,2,0,314.44
12651,1,114.0,78,2011-01-09,2011-01-09,9,334,0,114.0
12652,1,919.98,505,2011-01-12,2011-01-12,48,330,0,919.98
12653,2,2209.85,919,2011-07-14,2011-02-16,37,148,147,1104.92
12654,5,601.98,264,2011-11-29,2011-02-17,31,10,284,120.4
12656,5,4051.17,1723,2011-11-22,2011-04-20,89,16,216,810.23
12657,4,1643.18,1044,2011-11-28,2011-09-22,35,10,67,410.8
12658,1,686.05,320,2011-11-21,2011-11-21,36,18,0,686.05
12659,1,91.68,105,2011-11-10,2011-11-10,5,29,0,91.68
12660,1,245.1,127,2011-11-28,2011-11-28,13,10,0,245.1
12662,11,3849.78,2058,2011-12-09,2010-12-01,129,0,372,349.98
12664,9,4881.88,1203,2011-12-01,2011-01-21,10,7,314,542.43
12665,1,63.0,37,2011-01-19,2011-01-19,3,324,0,63.0
12667,1,620.13,395,2011-10-12,2011-10-12,33,57,0,620.13
12668,4,3807.15,1634,2011-11-28,2010-12-19,115,11,343,951.79
12669,3,2744.0299999999997,1115,2011-07-12,2011-03-28,98,150,105,914.68
12670,5,2996.05,1397,2011-11-29,2011-04-21,58,9,222,599.21
12672,1,225.89999999999998,78,2011-01-14,2011-01-14,10,329,0,225.9
12673,2,610.52,351,2011-12-04,2011-01-17,42,4,321,305.26
12674,4,1970.6,1133,2011-11-01,2011-05-16,52,38,169,492.65
12676,6,1331.39,670,2011-11-15,2011-02-01,33,24,286,221.9
12678,12,17628.46,10923,2011-10-28,2010-12-21,105,41,311,1469.04
12679,4,1113.02,554,2011-10-12,2011-03-01,43,58,225,278.26
12680,4,862.81,443,2011-12-09,2011-08-18,33,0,112,215.7
12681,22,13787.54,7536,2011-11-25,2010-12-07,267,14,353,626.71
12682,31,12279.82,5555,2011-12-06,2010-12-03,209,3,367,396.12
12683,15,8476.57,4987,2011-12-05,2010-12-09,177,3,361,565.1
12684,7,2283.63,1985,2011-12-02,2011-05-10,61,7,205,326.23
12685,6,2863.08,1523,2011-11-11,2011-09-07,117,27,65,477.18
12686,1,89.14,107,2010-12-03,2010-12-03,7,371,0,89.14
12688,1,4873.8099999999995,3028,2011-08-18,2011-08-18,171,113,0,4873.81
12689,2,1247.61,628,2011-11-14,2011-08-04,57,25,101,623.8
12690,1,389.01,106,2011-05-18,2011-05-18,16,205,0,389.01
12691,6,1035.8,394,2011-11-11,2010-12-17,21,27,329,172.63
12693,4,855.91,255,2011-08-04,2011-01-24,35,126,192,213.98
12694,2,869.67,509,2011-09-30,2011-06-09,32,69,112,434.84
12695,4,582.1,220,2011-12-02,2011-05-13,23,6,203,145.52
12697,3,957.59,508,2011-11-11,2011-06-23,37,28,140,319.2
12700,4,4939.99,2967,2011-12-02,2011-05-08,193,7,207,1235.0
12701,2,797.71,678,2011-09-21,2011-04-11,50,79,162,398.86
12702,1,219.0,53,2011-11-20,2011-11-20,12,19,0,219.0
12703,1,283.55,164,2011-09-29,2011-09-29,21,70,0,283.55
12704,8,2340.84,1006,2011-12-02,2011-06-23,64,6,162,292.6
12705,9,6868.29,3997,2011-11-24,2010-12-17,228,14,341,763.14
12707,1,603.42,256,2011-02-21,2011-02-21,33,291,0,603.42
12708,10,2712.91,1307,2011-11-10,2010-12-06,86,29,338,271.29
12709,15,9706.52,3912,2011-11-24,2010-12-08,93,14,351,647.1
12710,3,1149.02,851,2011-09-04,2011-05-22,75,96,104,383.01
12712,13,4396.13,1062,2011-11-11,2010-12-03,58,28,342,338.16
12713,1,848.55,508,2011-12-09,2011-12-09,38,0,0,848.55
12714,5,4708.86,3069,2011-11-30,2011-02-18,216,8,285,941.77
12715,1,343.36,192,2011-08-25,2011-08-25,20,105,0,343.36
12716,2,1053.49,708,2011-12-06,2011-07-29,60,3,129,526.74
12717,2,1030.98,506,2011-07-11,2011-04-08,49,150,94,515.49
12718,1,238.25,203,2011-09-29,2011-09-29,19,70,0,238.25
12719,2,644.95,374,2011-12-04,2011-10-05,34,4,59,322.48
12720,25,5781.73,4672,2011-12-07,2010-12-05,211,2,366,231.27
12721,6,2656.13,1959,2011-11-08,2010-12-20,133,31,323,442.69
12722,4,997.63,566,2011-09-15,2011-07-12,50,84,65,249.41
12723,5,725.07,434,2011-12-06,2011-10-05,53,3,61,145.01
12724,4,1031.41,445,2011-12-04,2011-01-11,47,4,327,257.85
12725,1,427.8,164,2010-12-03,2010-12-03,24,370,0,427.8
12726,7,2609.1,3143,2011-11-11,2010-12-17,57,27,329,372.73
12727,7,3980.7,2098,2011-11-29,2011-01-23,109,10,309,568.67
12728,4,836.33,419,2011-09-29,2011-01-11,38,70,261,209.08
12729,1,453.01,233,2011-08-18,2011-08-18,26,113,0,453.01
12731,12,18895.91,8437,2011-11-16,2010-12-10,109,23,341,1574.66
12732,1,236.26000000000002,111,2011-06-13,2011-06-13,12,179,0,236.26
12733,1,383.95,137,2011-04-19,2011-04-19,22,233,0,383.95
12734,1,110.39999999999999,88,2010-12-22,2010-12-22,4,352,0,110.4
12735,2,779.5699999999999,368,2011-01-28,2011-01-06,38,314,21,389.78
12736,1,234.0,173,2011-01-11,2011-01-11,4,332,0,234.0
12738,1,155.35,148,2010-12-02,2010-12-02,11,371,0,155.35
12739,2,1013.04,486,2011-09-22,2011-09-01,38,77,20,506.52
12740,1,427.6,342,2011-10-07,2011-10-07,27,63,0,427.6
12743,2,540.13,315,2011-07-28,2011-07-28,114,133,0,270.06
12744,7,21279.29,5241,2011-10-19,2011-01-25,178,51,266,3039.9
12747,11,4196.01,1275,2011-12-07,2010-12-05,42,1,366,381.46
12748,209,33053.19,25287,2011-12-09,2010-12-01,1768,0,372,158.15
12749,5,4090.88,1471,2011-12-06,2011-05-10,160,3,209,818.18
12750,1,275.88,137,2011-08-03,2011-08-03,15,128,0,275.88
12752,1,4366.78,2262,2011-09-19,2011-09-19,53,80,0,4366.78
12753,6,21429.39,11421,2011-11-17,2010-12-12,132,22,339,3571.56
12754,3,3010.74,6481,2011-04-18,2011-02-04,49,235,72,1003.58
12755,2,3811.95,1491,2011-03-04,2010-12-09,4,280,85,1905.98
12756,1,112.07999999999998,144,2011-09-14,2011-09-14,4,86,0,112.08
12757,13,7834.650000000001,2395,2011-11-24,2011-05-12,237,15,195,602.67
12758,2,2791.59,2135,2011-08-15,2011-03-08,84,116,159,1395.8
12759,3,1531.44,902,2011-10-18,2011-03-09,81,51,223,510.48
12762,2,1898.52,1227,2011-12-02,2011-11-14,62,7,17,949.26
12763,2,494.08,316,2011-07-24,2010-12-05,16,137,230,247.04
12764,1,1693.88,386,2011-01-27,2011-01-27,45,316,0,1693.88
12766,7,6989.63,3646,2011-12-06,2010-12-08,205,3,362,998.52
12769,1,1143.6,356,2011-04-15,2011-04-15,32,238,0,1143.6
12770,1,1351.45,743,2011-05-13,2011-05-13,12,210,0,1351.45
12772,1,892.47,556,2011-10-11,2011-10-11,55,59,0,892.47
12775,5,1386.04,877,2011-11-22,2011-02-01,47,16,294,277.21
12778,6,822.23,825,2011-11-20,2011-01-31,40,19,292,137.04
12779,8,3981.36,2024,2011-11-02,2010-12-03,88,37,333,497.67
12781,2,826.74,671,2011-10-07,2011-02-28,25,63,221,413.37
12782,5,2330.92,1086,2011-12-05,2010-12-17,81,4,352,466.18
12783,6,2225.91,624,2011-12-07,2011-09-25,76,1,73,370.98
12784,2,532.8199999999999,280,2011-11-30,2011-11-24,54,8,6,266.41
12785,1,311.95,131,2010-12-10,2010-12-10,14,363,0,311.95
12787,3,463.66,261,2011-11-30,2011-05-31,17,9,182,154.55
12789,1,91.85,4,2011-10-05,2011-10-05,4,64,0,91.85
12790,1,324.92,166,2011-05-31,2011-05-31,21,191,0,324.92
12791,1,192.60000000000002,97,2010-12-01,2010-12-01,2,373,0,192.6
12792,1,400.53999999999996,217,2011-03-28,2011-03-28,25,256,0,400.54
12793,2,545.48,295,2011-01-09,2010-12-03,21,334,36,272.74
12794,2,860.41,592,2011-10-17,2011-09-02,43,52,45,430.2
12795,1,430.48,68,2011-11-21,2011-11-21,14,18,0,430.48
12797,1,254.03,118,2010-12-09,2010-12-09,13,365,0,254.03
12798,3,6977.04,5256,2011-11-29,2011-06-22,6,9,160,2325.68
12802,1,427.58,314,2011-06-06,2011-06-06,25,186,0,427.58
12808,3,483.65000000000003,188,2011-11-03,2010-12-06,27,36,331,161.22
12809,1,489.31,220,2011-06-15,2011-06-15,25,177,0,489.31
12811,3,514.85,230,2011-03-24,2011-02-28,27,260,23,171.62
12812,1,229.64000000000001,164,2011-10-26,2011-10-26,15,44,0,229.64
12814,1,125.92,49,2011-08-30,2011-08-30,2,101,0,125.92
12815,2,1063.46,379,2011-07-15,2011-05-25,38,147,50,531.73
12816,2,572.2,128,2011-09-05,2011-06-16,27,95,80,286.1
12817,1,166.04,53,2011-03-03,2011-03-03,4,280,0,166.04
12818,1,1542.08,929,2011-03-23,2011-03-23,14,261,0,1542.08
12820,4,942.34,722,2011-12-06,2011-01-17,55,2,323,235.58
12821,1,92.72,70,2011-05-09,2011-05-09,6,213,0,92.72
12822,2,948.88,550,2011-09-30,2011-09-13,41,70,16,474.44
12823,5,1759.5,230,2011-09-26,2011-02-16,1,74,221,351.9
12824,1,397.12,232,2011-10-11,2011-10-11,25,59,0,397.12
12826,7,1474.72,1058,2011-12-07,2010-12-09,58,2,362,210.67
12827,3,430.15000000000003,197,2011-12-04,2011-10-26,19,5,38,143.38
