CustomerID,segment,cluster,days_since_last_purchase,purchase_frequency,total_revenue,unique_products,avg_order_value,customer_lifespan_days
12390,Regular Customer,1,79,1,549.84,32,549.84,0
12391,Regular Customer,1,21,1,439.66,92,439.66,0
12393,Regular Customer,1,71,4,1582.6,47,395.65,260
12394,Regular Customer,1,63,2,1272.48,26,636.24,153
12395,Regular Customer,1,18,12,3018.63,91,251.55,351
12397,Regular Customer,1,35,2,2409.9,110,1204.95,99
12398,Regular Customer,1,45,1,1635.66,85,1635.66,0
12399,Regular Customer,1,118,4,1108.65,47,277.16,142
12401,Low Value Customer,0,302,1,84.3,5,84.3,0
12402,Low Value Customer,0,322,1,225.6,11,225.6,0
12403,Regular Customer,1,49,1,427.7,5,427.7,0
12405,Low Value Customer,0,148,1,1710.39,54,1710.39,0
12406,Regular Customer,1,21,2,3415.3,92,1707.65,161
12407,Regular Customer,1,49,5,1708.12,57,341.62,214
12408,Regular Customer,1,32,5,2888.55,81,577.71,227
12409,VIP Customer,2,78,3,11072.67,91,3690.89,103
12410,Low Value Customer,0,308,2,693.3299999999999,26,346.66,0
12412,Regular Customer,1,74,3,1226.88,43,408.96,94
12413,Regular Customer,1,66,3,758.1,29,252.7,270
12414,Low Value Customer,0,216,3,562.41,16,187.47,93
12417,Regular Customer,1,2,9,3649.1,158,405.46,354
12418,Regular Customer,1,112,1,668.58,34,668.58,0
12420,Regular Customer,1,63,1,600.39,29,600.39,0
12421,Regular Customer,1,15,4,807.04,32,201.76,303
12422,Regular Customer,1,95,3,803.5600000000001,39,267.85,229
12423,Regular Customer,1,0,8,1859.31,97,232.41,352
12424,Low Value Customer,0,162,2,1760.96,30,880.48,0
12425,Regular Customer,1,77,1,777.2,36,777.2,0
12426,Low Value Customer,0,194,1,582.73,30,582.73,0
12427,Regular Customer,1,21,3,825.8,26,275.27,349
12428,VIP Customer,2,25,9,7956.46,258,884.05,257
12429,Regular Customer,1,8,4,3750.4,82,937.6,356
12430,Regular Customer,1,42,1,256.4,11,256.4,0
12431,VIP Customer,2,35,15,6419.95,163,428.0,338
12432,Regular Customer,1,42,5,5059.32,107,1011.86,129
12433,VIP Customer,2,0,7,13375.87,219,1910.84,372
12434,Regular Customer,1,84,2,806.14,46,403.07,175
12435,VIP Customer,2,79,2,7829.89,31,3914.94,188
12436,Regular Customer,1,99,1,509.01,16,509.01,0
12437,VIP Customer,2,1,18,4951.41,118,275.08,329
12438,Regular Customer,1,13,2,2906.85,84,1453.42,125
12441,Low Value Customer,0,366,1,173.55,11,173.55,0
12442,Regular Customer,1,2,1,172.06,12,172.06,0
12444,Regular Customer,1,20,5,5005.46,138,1001.09,149
12445,Regular Customer,1,21,1,133.4,4,133.4,0
12446,Regular Customer,1,57,1,1002.31,57,1002.31,0
12447,Low Value Customer,0,242,1,476.49,26,476.49,0
12448,Regular Customer,1,43,1,449.45,22,449.45,0
12449,Regular Customer,1,21,4,4067.29,118,1016.82,164
12450,Low Value Customer,0,155,2,197.88,7,98.94,17
12451,VIP Customer,2,10,5,9035.52,265,1807.1,313
12452,Regular Customer,1,16,2,430.57,21,215.28,0
12453,Regular Customer,1,133,1,707.09,43,707.09,0
12454,Regular Customer,1,55,1,3528.34,15,3528.34,0
12455,Regular Customer,1,72,6,2466.86,85,411.14,223
12456,Regular Customer,1,43,3,3181.04,105,1060.35,210
12457,Regular Customer,1,65,7,2363.23,53,337.6,172
12458,Regular Customer,1,70,2,947.4,35,473.7,213
12461,Regular Customer,1,93,2,826.88,35,413.44,60
12462,Regular Customer,1,18,2,1189.59,51,594.79,284
12463,Regular Customer,1,52,4,1344.78,65,336.2,188
12464,Regular Customer,1,9,8,1212.05,6,151.51,299
12465,Regular Customer,1,16,2,742.1899999999999,46,371.1,152
12468,Low Value Customer,0,187,2,729.5400000000001,36,364.77,128
12472,VIP Customer,2,31,7,6572.11,219,938.87,336
12473,Regular Customer,1,28,5,3928.05,140,785.61,162
12474,VIP Customer,2,16,18,7324.09,253,406.89,312
12475,Regular Customer,1,53,1,723.38,36,723.38,0
12476,VIP Customer,2,15,11,6816.42,177,619.67,345
12477,VIP Customer,2,22,6,13219.74,191,2203.29,278
12478,Regular Customer,1,3,1,680.99,36,680.99,0
12479,Regular Customer,1,10,1,527.2,31,527.2,0
12480,Regular Customer,1,27,4,3281.63,129,820.41,307
12481,VIP Customer,2,22,10,5579.82,150,557.98,342
12483,Regular Customer,1,16,8,2484.98,46,310.62,322
12484,Regular Customer,1,32,6,4527.32,256,754.55,303
12488,Regular Customer,1,9,3,1298.66,46,432.89,65
12489,Low Value Customer,0,335,1,334.93,15,334.93,0
12490,VIP Customer,2,4,10,5417.93,131,541.79,324
12491,Regular Customer,1,38,1,460.4,25,460.4,0
12492,Regular Customer,1,62,2,263.21000000000004,19,131.61,42
12493,Low Value Customer,0,165,2,433.74,20,216.87,31
12494,Regular Customer,1,15,7,1246.1,63,178.01,349
12497,Regular Customer,1,81,1,1043.1,14,1043.1,0
12498,Regular Customer,1,20,3,403.7000000000001,21,134.57,36
12500,VIP Customer,2,22,11,4257.82,34,387.07,310
12501,Low Value Customer,0,336,1,2169.39,149,2169.39,0
12502,Regular Customer,1,95,5,3723.87,102,744.77,214
12504,Regular Customer,1,17,2,482.05,6,241.02,12
12506,Low Value Customer,0,232,1,73.5,23,73.5,0
12507,Regular Customer,1,133,3,1304.81,19,434.94,164
12508,Regular Customer,1,25,2,397.88,57,198.94,2
12509,Low Value Customer,0,283,1,176.5,7,176.5,0
12510,Regular Customer,1,142,2,982.57,29,491.28,182
12512,Regular Customer,1,65,2,132.18,31,66.09,0
12513,Regular Customer,1,112,1,612.29,35,612.29,0
12514,Low Value Customer,0,266,1,1017.68,51,1017.68,0
12515,Low Value Customer,0,352,1,383.7,16,383.7,0
12516,Regular Customer,1,77,2,1312.06,20,656.03,102
12517,Regular Customer,1,27,5,2481.6,232,496.32,161
12518,Regular Customer,1,0,5,2056.89,84,411.38,109
12519,Regular Customer,1,63,1,330.84,17,330.84,0
12520,Regular Customer,1,78,5,2634.26,121,526.85,194
12521,Low Value Customer,0,142,1,599.68,38,599.68,0
12522,Regular Customer,1,38,2,192.72,11,96.36,12
12523,Regular Customer,1,18,11,1789.77,84,162.71,312
12524,Regular Customer,1,8,8,4485.72,113,560.72,324
12526,Regular Customer,1,0,3,1316.66,64,438.89,93
12527,Regular Customer,1,81,3,348.71000000000004,18,116.24,243
12528,Regular Customer,1,8,6,1933.48,50,322.25,303
12530,Regular Customer,1,59,4,1662.28,51,415.57,277
12531,Regular Customer,1,14,1,125.22,17,125.22,0
12532,Regular Customer,1,29,1,349.83000000000004,16,349.83,0
12534,Regular Customer,1,130,1,1089.18,63,1089.18,0
12535,Regular Customer,1,91,2,716.35,28,358.18,94
12536,VIP Customer,2,42,3,12601.830000000002,260,4200.61,15
12538,Regular Customer,1,28,1,363.95,21,363.95,0
12539,Regular Customer,1,21,4,5568.35,157,1392.09,311
12540,VIP Customer,2,19,17,13400.24,277,788.25,342
12541,Regular Customer,1,29,3,981.18,46,327.06,251
12544,Regular Customer,1,35,1,372.7,19,372.7,0
12545,Regular Customer,1,74,2,1000.39,42,500.2,184
12546,Regular Customer,1,46,2,1161.5,59,580.75,31
12547,Low Value Customer,0,197,2,207.8,7,103.9,82
12548,Low Value Customer,0,165,1,95.2,5,95.2,0
12550,Regular Customer,1,78,1,964.83,57,964.83,0
12551,Low Value Customer,0,357,1,168.0,10,168.0,0
12552,Regular Customer,1,38,2,437.82,20,218.91,0
12553,Regular Customer,1,7,10,3692.28,95,369.23,321
12556,Regular Customer,1,49,2,599.56,100,299.78,100
12557,VIP Customer,2,15,5,11990.96,15,2398.19,355
12558,Regular Customer,1,7,1,269.96,11,269.96,0
12559,Low Value Customer,0,310,2,561.71,21,280.86,8
12560,Regular Customer,1,4,3,2134.01,91,711.34,137
12561,Low Value Customer,0,302,1,238.85,16,238.85,0
12562,Regular Customer,1,7,7,3781.74,99,540.25,190
12564,Low Value Customer,0,260,1,456.9,21,456.9,0
12565,Low Value Customer,0,288,1,145.92,9,145.92,0
12566,Regular Customer,1,85,1,351.65,19,351.65,0
12567,VIP Customer,2,22,10,9401.28,323,940.13,346
12569,VIP Customer,2,1,32,4124.69,92,128.9,250
12571,Regular Customer,1,39,2,519.61,31,259.8,81
12572,Regular Customer,1,8,2,1020.42,53,510.21,43
12573,Low Value Customer,0,226,1,160.54000000000002,26,160.54,0
12574,Low Value Customer,0,315,1,218.45,11,218.45,0
12576,Regular Customer,1,35,5,1315.83,72,263.17,268
12577,Regular Customer,1,34,3,626.6,137,208.87,323
12578,Regular Customer,1,20,2,2794.51,111,1397.26,308
12579,Regular Customer,1,77,1,440.42,29,440.42,0
12580,Low Value Customer,0,246,1,415.7,24,415.7,0
12581,Regular Customer,1,39,1,197.71,15,197.71,0
12582,Low Value Customer,0,238,2,511.36,21,255.68,49
12583,VIP Customer,2,2,15,7281.38,115,485.43,370
12584,Regular Customer,1,3,9,2338.15,44,259.79,276
12585,Low Value Customer,0,233,2,2040.1,77,1020.05,117
12586,Regular Customer,1,16,1,196.94000000000003,11,196.94,0
12587,Regular Customer,1,7,1,144.0,4,144.0,0
12588,Regular Customer,1,38,1,214.9,10,214.9,0
12589,Regular Customer,1,28,2,646.68,29,323.34,115
12590,VIP Customer,2,210,2,9864.26,68,4932.13,0
12591,Low Value Customer,0,316,1,452.85,26,452.85,0
12592,Regular Customer,1,91,2,437.6,11,218.8,121
12593,Regular Customer,1,108,3,418.1,14,139.37,110
12594,Regular Customer,1,37,10,3338.2200000000003,50,333.82,285
12596,Regular Customer,1,50,2,618.27,25,309.14,190
12597,Regular Customer,1,18,4,3811.22,184,952.8,248
12598,Regular Customer,1,9,8,3023.08,84,377.88,275
12599,Regular Customer,1,28,7,1032.58,32,147.51,275
12600,Regular Customer,1,28,10,2599.04,32,259.9,342
12601,Low Value Customer,0,189,5,577.0600000000001,21,115.41,142
12602,Regular Customer,1,58,1,153.12,12,153.12,0
12603,Regular Customer,1,21,1,739.1999999999999,2,739.2,0
12604,Regular Customer,1,78,2,254.18,15,127.09,182
12607,Regular Customer,1,59,1,1579.51,101,1579.51,0
12609,Regular Customer,1,77,3,1126.85,57,375.62,240
12610,Regular Customer,1,22,5,2099.54,85,419.91,103
12611,Regular Customer,1,51,1,1193.32,65,1193.32,0
12612,Regular Customer,1,73,1,704.0400000000001,19,704.04,0
12613,Regular Customer,1,56,5,3344.38,124,668.88,204
12614,Low Value Customer,0,277,1,315.6,20,315.6,0
12615,Regular Customer,1,1,4,2291.19,82,572.8,166
12616,Regular Customer,1,94,2,713.3,25,356.65,202
12617,Regular Customer,1,28,1,352.98,39,352.98,0
12618,Regular Customer,1,21,1,177.31,11,177.31,0
12619,Regular Customer,1,15,9,3641.24,50,404.58,237
12620,Regular Customer,1,14,3,1339.41,89,446.47,189
12621,VIP Customer,2,1,20,13689.67,261,684.48,364
12622,Low Value Customer,0,231,1,180.1,11,180.1,0
12623,Low Value Customer,0,275,1,305.1,18,305.1,0
12624,Regular Customer,1,105,2,641.13,36,320.56,71
12625,Low Value Customer,0,211,2,2683.82,73,1341.91,107
12626,VIP Customer,2,22,9,6620.48,232,735.61,303
12627,Regular Customer,1,10,7,4478.53,162,639.79,129
12628,Regular Customer,1,3,3,786.46,34,262.15,60
12630,Regular Customer,1,9,2,1270.88,60,635.44,34
12631,Regular Customer,1,56,1,640.5,31,640.5,0
12633,Regular Customer,1,58,4,2163.98,73,541.0,229
12635,Regular Customer,1,89,2,1689.18,96,844.59,65
12637,VIP Customer,2,66,8,6002.9,205,750.36,256
12638,Regular Customer,1,32,1,671.69,39,671.69,0
12639,Low Value Customer,0,238,1,486.1,22,486.1,0
12640,Regular Customer,1,23,3,1174.58,47,391.53,57
12641,Regular Customer,1,114,1,185.9,10,185.9,0
12642,Regular Customer,1,24,3,1013.26,39,337.75,82
12643,Regular Customer,1,127,6,3344.64,11,557.44,204
12644,Regular Customer,1,129,1,477.91,31,477.91,0
12645,Regular Customer,1,33,4,1775.18,58,443.8,282
12646,Regular Customer,1,4,2,1346.97,43,673.48,44
12647,VIP Customer,2,21,12,3722.82,78,310.24,346
12648,Low Value Customer,0,154,1,318.05,21,318.05,0
12649,Regular Customer,1,106,3,623.51,28,207.84,105
12650,Regular Customer,1,2,1,314.44,20,314.44,0
12651,Low Value Customer,0,334,1,114.0,9,114.0,0
12652,Low Value Customer,0,330,1,919.98,48,919.98,0
12653,Regular Customer,1,148,2,2209.85,37,1104.92,147
12654,Regular Customer,1,10,5,601.98,31,120.4,284
12656,Regular Customer,1,16,5,4051.17,89,810.23,216
12657,Regular Customer,1,10,4,1643.18,35,410.8,67
12658,Regular Customer,1,18,1,686.05,36,686.05,0
12659,Regular Customer,1,29,1,91.68,5,91.68,0
12660,Regular Customer,1,10,1,245.1,13,245.1,0
12662,VIP Customer,2,0,11,3849.78,129,349.98,372
12664,VIP Customer,2,7,9,4881.88,10,542.43,314
12665,Low Value Customer,0,324,1,63.0,3,63.0,0
12667,Regular Customer,1,57,1,620.13,33,620.13,0
12668,Regular Customer,1,11,4,3807.15,115,951.79,343
12669,Regular Customer,1,150,3,2744.03,98,914.68,105
12670,Regular Customer,1,9,5,2996.05,58,599.21,222
12672,Low Value Customer,0,329,1,225.9,10,225.9,0
12673,Regular Customer,1,4,2,610.52,42,305.26,321
12674,Regular Customer,1,38,4,1970.6,52,492.65,169
12676,Regular Customer,1,24,6,1331.39,33,221.9,286
12678,VIP Customer,2,41,12,17628.46,105,1469.04,311
12679,Regular Customer,1,58,4,1113.02,43,278.26,225
12680,Regular Customer,1,0,4,862.81,33,215.7,112
12681,VIP Customer,2,14,22,13787.54,267,626.71,353
12682,VIP Customer,2,3,31,12279.82,209,396.12,367
12683,VIP Customer,2,3,15,8476.57,177,565.1,361
12684,Regular Customer,1,7,7,2283.63,61,326.23,205
12685,Regular Customer,1,27,6,2863.08,117,477.18,65
12686,Low Value Customer,0,371,1,89.14,7,89.14,0
12688,Regular Customer,1,113,1,4873.81,171,4873.81,0
12689,Regular Customer,1,25,2,1247.61,57,623.8,101
12690,Low Value Customer,0,205,1,389.01,16,389.01,0
12691,Regular Customer,1,27,6,1035.8,21,172.63,329
12693,Regular Customer,1,126,4,855.91,35,213.98,192
12694,Regular Customer,1,69,2,869.67,32,434.84,112
12695,Regular Customer,1,6,4,582.1,23,145.52,203
12697,Regular Customer,1,28,3,957.59,37,319.2,140
12700,Regular Customer,1,7,4,4939.99,193,1235.0,207
12701,Regular Customer,1,79,2,797.71,50,398.86,162
12702,Regular Customer,1,19,1,219.0,12,219.0,0
12703,Regular Customer,1,70,1,283.55,21,283.55,0
12704,Regular Customer,1,6,8,2340.84,64,292.6,162
12705,VIP Customer,2,14,9,6868.29,228,763.14,341
12707,Low Value Customer,0,291,1,603.42,33,603.42,0
12708,Regular Customer,1,29,10,2712.91,86,271.29,338
12709,VIP Customer,2,14,15,9706.52,93,647.1,351
12710,Regular Customer,1,96,3,1149.02,75,383.01,104
12712,VIP Customer,2,28,13,4396.13,58,338.16,342
12713,Regular Customer,1,0,1,848.55,38,848.55,0
12714,Regular Customer,1,8,5,4708.86,216,941.77,285
12715,Regular Customer,1,105,1,343.36,20,343.36,0
12716,Regular Customer,1,3,2,1053.49,60,526.74,129
12717,Low Value Customer,0,150,2,1030.98,49,515.49,94
12718,Regular Customer,1,70,1,238.25,19,238.25,0
12719,Regular Customer,1,4,2,644.95,34,322.48,59
12720,VIP Customer,2,2,25,5781.73,211,231.27,366
12721,Regular Customer,1,31,6,2656.13,133,442.69,323
12722,Regular Customer,1,84,4,997.63,50,249.41,65
12723,Regular Customer,1,3,5,725.07,53,145.01,61
12724,Regular Customer,1,4,4,1031.41,47,257.85,327
12725,Low Value Customer,0,370,1,427.8,24,427.8,0
12726,Regular Customer,1,27,7,2609.1,57,372.73,329
12727,Regular Customer,1,10,7,3980.7,109,568.67,309
12728,Regular Customer,1,70,4,836.33,38,209.08,261
12729,Regular Customer,1,113,1,453.01,26,453.01,0
12731,VIP Customer,2,23,12,18895.91,109,1574.66,341
12732,Low Value Customer,0,179,1,236.26,12,236.26,0
12733,Low Value Customer,0,233,1,383.95,22,383.95,0
12734,Low Value Customer,0,352,1,110.4,4,110.4,0
12735,Low Value Customer,0,314,2,779.5699999999999,38,389.78,21
12736,Low Value Customer,0,332,1,234.0,4,234.0,0
12738,Low Value Customer,0,371,1,155.35,11,155.35,0
12739,Regular Customer,1,77,2,1013.04,38,506.52,20
12740,Regular Customer,1,63,1,427.6,27,427.6,0
12743,Regular Customer,1,133,2,540.13,114,270.06,0
12747,VIP Customer,2,1,11,4196.01,42,381.46,366
12749,Regular Customer,1,3,5,4090.88,160,818.18,209
12750,Regular Customer,1,128,1,275.88,15,275.88,0
12752,Regular Customer,1,80,1,4366.78,53,4366.78,0
12754,Low Value Customer,0,235,3,3010.74,49,1003.58,72
12755,Low Value Customer,0,280,2,3811.95,4,1905.98,85
12756,Regular Customer,1,86,1,112.07999999999998,4,112.08,0
12757,VIP Customer,2,15,13,7834.650000000001,237,602.67,195
12758,Regular Customer,1,116,2,2791.59,84,1395.8,159
12759,Regular Customer,1,51,3,1531.44,81,510.48,223
12762,Regular Customer,1,7,2,1898.52,62,949.26,17
12763,Regular Customer,1,137,2,494.08,16,247.04,230
12764,Low Value Customer,0,316,1,1693.88,45,1693.88,0
12766,VIP Customer,2,3,7,6989.63,205,998.52,362
12769,Low Value Customer,0,238,1,1143.6,32,1143.6,0
12770,Low Value Customer,0,210,1,1351.45,12,1351.45,0
12772,Regular Customer,1,59,1,892.47,55,892.47,0
12775,Regular Customer,1,16,5,1386.04,47,277.21,294
12778,Regular Customer,1,19,6,822.23,40,137.04,292
12779,Regular Customer,1,37,8,3981.36,88,497.67,333
12781,Regular Customer,1,63,2,826.74,25,413.37,221
12782,Regular Customer,1,4,5,2330.92,81,466.18,352
12783,Regular Customer,1,1,6,2225.91,76,370.98,73
12784,Regular Customer,1,8,2,532.8199999999999,54,266.41,6
12785,Low Value Customer,0,363,1,311.95,14,311.95,0
12787,Regular Customer,1,9,3,463.66,17,154.55,182
12789,Regular Customer,1,64,1,91.85,4,91.85,0
12790,Low Value Customer,0,191,1,324.92,21,324.92,0
12791,Low Value Customer,0,373,1,192.6,2,192.6,0
12792,Low Value Customer,0,256,1,400.54,25,400.54,0
12793,Low Value Customer,0,334,2,545.48,21,272.74,36
12794,Regular Customer,1,52,2,860.41,43,430.2,45
12795,Regular Customer,1,18,1,430.48,14,430.48,0
12797,Low Value Customer,0,365,1,254.03,13,254.03,0
12798,VIP Customer,2,9,3,6977.04,6,2325.68,160
12802,Low Value Customer,0,186,1,427.58,25,427.58,0
12808,Regular Customer,1,36,3,483.65,27,161.22,331
12809,Low Value Customer,0,177,1,489.31,25,489.31,0
12811,Low Value Customer,0,260,3,514.85,27,171.62,23
12812,Regular Customer,1,44,1,229.64,15,229.64,0
12814,Regular Customer,1,101,1,125.92,2,125.92,0
12815,Low Value Customer,0,147,2,1063.46,38,531.73,50
12816,Regular Customer,1,95,2,572.2,27,286.1,80
12817,Low Value Customer,0,280,1,166.04,4,166.04,0
12818,Low Value Customer,0,261,1,1542.08,14,1542.08,0
12820,Regular Customer,1,2,4,942.34,55,235.58,323
12821,Low Value Customer,0,213,1,92.72,6,92.72,0
12822,Regular Customer,1,70,2,948.88,41,474.44,16
12823,Regular Customer,1,74,5,1759.5,1,351.9,221
12824,Regular Customer,1,59,1,397.12,25,397.12,0
12826,Regular Customer,1,2,7,1474.72,58,210.67,362
12827,Regular Customer,1,5,3,430.15,19,143.38,38
12828,Regular Customer,1,2,6,1018.71,46,169.78,127
12829,Low Value Customer,0,336,2,293.0,9,146.5,23
12830,VIP Customer,2,37,6,6814.64,13,1135.77,134
12831,Low Value Customer,0,261,1,215.05,9,215.05,0
12832,Regular Customer,1,31,2,383.03,27,191.52,65
12833,Low Value Customer,0,144,1,417.38,24,417.38,0
12834,Low Value Customer,0,282,1,312.38,18,312.38,0
12836,Regular Customer,1,58,4,2610.36,148,652.59,252
12837,Low Value Customer,0,172,1,134.1,12,134.1,0
12838,Regular Customer,1,33,2,671.95,115,335.98,340
12839,VIP Customer,2,2,14,5591.42,95,399.39,364
12840,Regular Customer,1,143,4,2726.77,67,681.69,82
12841,VIP Customer,2,4,25,3991.58,229,159.66,367
12842,Regular Customer,1,69,2,1118.99,34,559.5,238
12843,Regular Customer,1,65,8,1702.26,69,212.78,198
12844,Regular Customer,1,28,2,325.96000000000004,47,162.98,101
12845,Low Value Customer,0,266,4,354.09,26,88.52,22
12847,Regular Customer,1,21,1,843.64,72,843.64,0
12849,Regular Customer,1,30,2,1010.29,47,505.14,237
12851,Regular Customer,1,96,1,131.81,43,131.81,0
12852,Low Value Customer,0,294,1,311.55,17,311.55,0
12853,Regular Customer,1,134,6,1957.1,66,326.18,181
12854,Regular Customer,1,78,3,1316.25,95,438.75,239
12855,Low Value Customer,0,372,1,38.1,3,38.1,0
12856,Regular Customer,1,7,6,2170.78,155,361.8,55
12857,Low Value Customer,0,210,2,1106.4,37,553.2,91
12863,Regular Customer,1,51,1,521.2,5,521.2,0
12864,Low Value Customer,0,137,1,147.12,3,147.12,0
12865,Regular Customer,1,25,2,1568.23,86,784.12,97
12866,Low Value Customer,0,282,1,559.12,26,559.12,0
12867,Regular Customer,1,25,7,4009.34,240,572.76,333
12868,Low Value Customer,0,185,6,1607.0600000000002,72,267.84,187
12871,Regular Customer,1,83,2,380.64,8,190.32,123
12872,Low Value Customer,0,326,2,599.97,58,299.98,38
12873,Low Value Customer,0,281,1,374.0,4,374.0,0
12875,Low Value Customer,0,142,2,343.2300000000001,1,171.62,219
12876,Regular Customer,1,57,2,2218.02,67,1109.01,138
12877,Regular Customer,1,3,12,1535.77,100,127.98,354
12878,Low Value Customer,0,235,2,854.99,38,427.5,29
12879,Regular Customer,1,44,3,573.22,7,191.07,47
12881,Low Value Customer,0,275,1,298.0,7,298.0,0
12882,Regular Customer,1,8,2,1463.04,12,731.52,24
12883,Regular Customer,1,24,4,703.47,39,175.87,64
12884,Regular Customer,1,87,1,309.05,7,309.05,0
12885,Regular Customer,1,62,3,1175.22,66,391.74,60
12886,Regular Customer,1,67,2,1378.4,75,689.2,151
12888,Low Value Customer,0,213,2,354.12,4,177.06,41
12890,Regular Customer,1,23,1,376.72,78,376.72,0
12891,Low Value Customer,0,185,3,331.0,2,110.33,107
12893,Regular Customer,1,30,1,176.55,27,176.55,0
12895,Regular Customer,1,41,2,372.8,22,186.4,44
12897,Low Value Customer,0,204,2,216.5,3,108.25,97
12901,VIP Customer,2,8,28,17654.54,30,630.52,261
12902,Low Value Customer,0,264,1,138.68,10,138.68,0
12904,Regular Customer,1,17,2,496.06,59,248.03,154
12906,Regular Customer,1,11,5,2919.81,55,583.96,66
12908,Low Value Customer,0,175,2,750.0,1,375.0,136
12909,Regular Customer,1,39,5,2178.67,78,435.73,213
12910,Regular Customer,1,22,8,3075.04,48,384.38,218
12912,Regular Customer,1,2,5,1662.3,17,332.46,37
12913,Regular Customer,1,4,5,2483.63,37,496.73,363
12915,Low Value Customer,0,148,2,363.65,19,181.82,223
12916,Regular Customer,1,138,4,2944.95,53,736.24,181
12917,Regular Customer,1,127,1,594.0,2,594.0,0
12919,Regular Customer,1,7,6,1335.19,34,222.53,161
12920,Regular Customer,1,16,1,162.78,27,162.78,0
12921,VIP Customer,2,8,37,16587.09,233,448.3,364
12922,Low Value Customer,0,160,1,405.38,28,405.38,0
12923,Regular Customer,1,63,1,172.82,28,172.82,0
12924,Regular Customer,1,87,4,933.7,22,233.42,239
12925,Regular Customer,1,4,2,694.05,42,347.02,70
12928,Regular Customer,1,34,5,2062.7000000000003,59,412.54,323
12929,Low Value Customer,0,311,1,117.85,8,117.85,0
12930,Regular Customer,1,77,2,415.8,20,207.9,93
12933,Regular Customer,1,23,3,607.53,102,202.51,259
12935,Regular Customer,1,1,7,2160.7,80,308.67,317
12936,Regular Customer,1,16,4,1063.9,56,265.98,61
12937,Regular Customer,1,14,4,1504.27,81,376.07,252
12938,Regular Customer,1,25,1,114.14,9,114.14,0
12939,VIP Customer,2,63,8,11581.8,21,1447.72,270
12940,Regular Customer,1,54,2,899.69,87,449.84,33
12942,Regular Customer,1,130,3,675.6,68,225.2,234
12944,Regular Customer,1,35,2,604.51,29,302.26,319
12945,Low Value Customer,0,287,1,462.95,23,462.95,0
12947,Regular Customer,1,143,6,1603.99,83,267.33,229
12948,Regular Customer,1,15,7,2064.95,82,294.99,248
12949,Regular Customer,1,30,8,4167.22,166,520.9,221
12950,Regular Customer,1,1,3,1843.0,13,614.33,21
12951,Regular Customer,1,8,6,1064.07,53,177.34,322
12952,Regular Customer,1,5,4,1387.79,64,346.95,72
12953,Regular Customer,1,9,1,329.85,17,329.85,0
12955,VIP Customer,2,0,11,4757.16,81,432.47,266
12956,Low Value Customer,0,305,1,108.07,19,108.07,0
12957,Regular Customer,1,9,8,4017.54,208,502.19,329
12962,Regular Customer,1,6,2,266.39,15,133.2,106
12963,Regular Customer,1,7,8,1856.63,75,232.08,357
12965,Regular Customer,1,88,1,769.8100000000001,108,769.81,0
12966,Regular Customer,1,9,1,160.18,10,160.18,0
12967,Low Value Customer,0,357,2,1660.9,19,830.45,13
12968,Regular Customer,1,111,1,135.95,5,135.95,0
12970,Regular Customer,1,6,4,405.47,116,101.37,315
12971,VIP Customer,2,3,86,11189.91,94,130.12,368
12974,Low Value Customer,0,197,1,144.8,8,144.8,0
12976,Low Value Customer,0,211,1,738.6,22,738.6,0
12977,Low Value Customer,0,155,1,39.24,9,39.24,0
